pool	rolls	numItems	totalWeight
JaysKitchenButcher	4	15	96.100
JaysKitchenFreezer	4	6	90.000
JaysKitchenFridge	4	7	78.000
JaysKitchenSauce	4	9	79.000
JerkyFactoryCrate	4	4	60.000
JerkyFactoryMeat	4	4	60.000
JerkyFactorySpices	4	6	76.000
JerkyFactoryTools	4	13	83.000
JewelerTools	4	40	237.000
JewelryGems	4	14	56.100
JewelryGold	4	14	118.000
JewelryNavelRings	4	16	84.000
JewelryOthers	4	9	58.000
JewelrySilver	4	16	130.000
JewelryStorageAll	4	56	385.000
JewelryWeddingRings	4	10	88.000
JewelryWrist	4	11	90.000
JockeyLockers	4	59	191.332
JudgeMattHassCounter	4	10	146.000
JuiceStandDrinks	4	17	361.000
JuiceStandFridge	4	12	222.000
JuiceStandSnacks	4	24	79.000
JunkBin	4	15	118.000
JunkHoard	4	81	447.671
KidsDesk	2	47	308.010
KitchenBaking	4	33	102.050
KitchenBook	4	85	302.200
KitchenBottles	2	20	65.220
KitchenBreakfast	2	21	93.101
KitchenCannedFood	2	25	68.050
KitchenDishes	4	29	188.610
KitchenDryFood	2	34	178.200
KitchenMicrowave	4	3	24.000
KitchenPots	4	26	183.500
KitchenRandom	2	192	372.120
KnappingBooks	8	7	50.000
KnappingTools	4	10	260.000
KnifeFactoryCutlery	4	6	210.000
KnifeFactoryHandles	4	5	110.000
KnifeFactoryKitchenKnife	4	5	110.000
KnifeFactoryKitchenKnifeBlades	4	5	110.000
KnifeFactoryMeatCleaver	4	5	110.000
KnifeFactoryMeatCleaverBlades	4	5	110.000
KnifeFactorySushiKnife	4	5	110.000
KnifeFactoryTools	4	35	226.100
KnifeStoreCutlery	4	9	164.000
LaboratoryBooks	4	10	100.000
LaboratoryGasStorage	4	6	90.000
LaboratoryLockers	4	63	121.001
LaundryCleaning	4	13	108.000
LaundryHospital	4	7	140.000
LaundryLoad1	4	20	109.000
LaundryLoad2	4	16	231.000
LaundryLoad3	4	13	97.210
LaundryLoad4	4	16	165.201
LaundryLoad5	4	14	95.000
LaundryLoad6	4	43	33.400
LaundryLoad7	4	17	241.000
LaundryLoad8	4	25	128.000
LaundrySuits	4	7	92.000
LeatherworkingTools	4	15	390.000
LibraryArt	4	6	90.000
LibraryBiography	4	6	90.000
LibraryBooks	4	80	317.100
LibraryBusiness	4	6	90.000
LibraryChilds	4	6	90.000
LibraryCinema	4	6	90.000
LibraryComputer	4	6	90.000
LibraryCounter	4	8	134.500
LibraryCrimeFiction	4	6	90.000
LibraryFantasySciFi	4	9	130.000
LibraryFashion	4	21	134.000
LibraryGeneralReference	4	5	120.000
LibraryHistory	4	6	90.000
LibraryHorror	4	6	90.000
LibraryLegal	4	6	90.000
LibraryLiteraryFiction	4	6	90.000
LibraryMagazines	4	57	51.060
LibraryMedical	4	11	120.000
LibraryMilitaryHistory	4	6	90.000
LibraryMusic	4	6	90.000
LibraryNewAge	4	5	110.000
LibraryNonFiction	4	8	120.000
LibraryOccult	4	6	90.000
LibraryOutdoors	4	22	200.000
LibraryPersonal	4	6	90.000
LibraryPhilosophy	4	5	110.000
LibraryPolitics	4	6	90.000
LibraryReligion	4	6	90.000
LibraryRomance	4	6	90.000
LibraryScience	4	6	90.000
LibrarySports	4	8	110.000
LibraryThriller	4	6	90.000
LibraryTravel	4	6	90.000
LibraryWestern	4	6	90.000
LingerieStoreAccessories	4	11	101.000
LingerieStoreBras	4	13	112.000
LingerieStoreOutfits	4	8	74.000
LingerieStoreUnderwear	4	17	156.000
LiquorStoreBags	4	13	109.100
LiquorStoreBeer	4	10	122.000
LiquorStoreBeerFancy	4	8	120.000
LiquorStoreBrandy	4	4	60.000
LiquorStoreGin	4	4	60.000
LiquorStoreMagazineRack	4	10	140.000
LiquorStoreMix	4	6	90.000
LiquorStoreRum	4	4	60.000
LiquorStoreScotch	4	4	60.000
LiquorStoreTequila	4	4	60.000
LiquorStoreVodka	4	4	60.000
LiquorStoreWhiskey	4	4	60.000
LiquorStoreWine	4	8	98.000
LiquorStoreWineFancy	4	8	120.000
LivingRoomShelf	4	148	108.618
LivingRoomShelfClassy	4	155	112.387
LivingRoomShelfNoTapes	2	0	0.000
LivingRoomShelfRedneck	4	153	108.779
LivingRoomSideTable	4	87	88.015
LivingRoomSideTableClassy	4	93	111.573
LivingRoomSideTableNoRemote	4	0	0.000
LivingRoomSideTableRedneck	4	100	81.526
LivingRoomWardrobe	2	229	241.577
Locker	4	85	192.170
LockerArmyBedroom	4	74	86.051
LockerArmyBedroomHome	4	91	99.460
LockerClassy	4	100	241.563
LoggingFactoryTools	4	42	305.200
LostAndFoundClothing	8	14	68.000
LostAndFoundItems	8	102	123.400
MagazineRackAdult	4	5	110.000
MagazineRackBrochure	4	5	110.000
MagazineRackCards	4	11	116.000
MagazineRackFancy	4	4	100.000
MagazineRackMaps	4	14	49.000
MagazineRackMixed	4	90	300.810
MagazineRackNewspaper	4	5	110.000
MagazineRackPaperback	4	12	110.000
MannequinFactoryPaint	4	16	235.000
MannequinFactoryTools	4	35	214.000
MayorWestPointBooks	4	9	179.000
MayorWestPointDesk	4	22	75.060
MayorWestPointSafe	4	0	0.000
Meat	1	0	0.000
MechanicOutfit	4	31	141.510
MechanicShelfBooks	4	31	208.000
MechanicShelfBrakes	4	21	115.000
MechanicShelfElectric	4	27	171.500
MechanicShelfMisc	4	51	328.400
MechanicShelfMufflers	4	18	95.000
MechanicShelfOutfit	4	12	99.000
MechanicShelfSuspension	4	22	119.000
MechanicShelfTools	4	50	329.500
MechanicShelfWheels	4	22	113.000
MechanicSpecial	4	66	263.000
MechanicTools	4	46	219.010
MedicalCabinet	4	11	70.100
MedicalClinicDrugs	4	19	138.100
MedicalClinicOutfit	4	23	145.210
MedicalClinicTools	4	20	100.000
MedicalOfficeBooks	4	12	108.000
MedicalOfficeCounter	4	25	100.400
MedicalOfficeDesk	4	32	119.700
MedicalStorageDrugs	4	23	277.500
MedicalStorageOutfit	4	25	184.610
MedicalStorageTools	4	24	203.000
MedievalAlchemy	4	13	590.000
MedievalBible	1	5	1000.000
MedievalBooks	4	21	126.000
MedievalCooking	4	13	366.000
MedievalTools	4	11	220.000
MedievalWeapons	4	5	52.000
MedievalWeaponsJapan	4	5	98.000
MeleeWeapons	4	97	265.700
MeleeWeapons_Late	4	172	373.730
MeleeWeapons_Mid	4	138	285.010
MetalShopTools	4	59	402.800
MetalWorkerOutfit	3	31	143.510
MetalWorkerTools	3	43	266.610
MexicanKitchenBaking	4	14	130.000
MexicanKitchenButcher	4	22	107.200
MexicanKitchenFreezer	4	5	26.000
MexicanKitchenFridge	4	25	84.000
MexicanKitchenSauce	4	14	100.000
MorgueChemicals	4	18	202.000
MorgueOutfit	4	21	160.500
MorgueTools	4	30	258.000
MotelFridge	1	16	100.100
MotelLinens	4	7	140.000
MotelSideTable	1	2	400.000
MotelTowels	4	5	110.000
MovieRentalShelves	4	6	120.000
MusicSchoolCases	4	10	350.000
MusicSchoolDesk	4	6	210.000
MusicSchoolLocker	4	70	363.270
MusicSchoolSheets	4	11	440.000
MusicStoreBass	4	7	106.000
MusicStoreBrass	4	8	120.000
MusicStoreCDs	4	9	160.000
MusicStoreCases	4	9	110.000
MusicStoreDrums	4	6	140.000
MusicStoreGuitar	4	7	106.000
MusicStoreLiterature	4	8	120.000
MusicStoreOthers	4	8	160.000
MusicStoreSpeaker	4	6	80.000
MusicStoreStringed	4	8	120.000
NolansDesk	4	42	738.350
NolansFilingCabinet	4	24	413.910
NolansFridge	4	12	170.200
NurseOutfit	4	19	114.500
NurseTools	4	22	253.500
OfficeCounter	4	11	78.000
OfficeDesk	4	34	69.072
OfficeDeskHome	4	65	158.685
OfficeDeskHomeClassy	4	75	245.891
OfficeDeskSecretary	4	39	153.930
OfficeDeskStressed	4	40	164.881
OfficeDrawers	4	66	280.113
OfficeShelfSupplies	4	32	211.600
OptometristDesk	4	23	117.900
OptometristGlasses	4	7	80.000
OtherGeneric	1	52	231.610
OutdoorSupplyBoots	4	4	100.000
OutdoorSupplyClothes	4	7	96.000
OutdoorSupplyMagazines	4	19	166.000
PaintStudioTools	4	20	170.000
PawnShopCases	4	15	142.000
PawnShopGuns	4	31	165.000
PawnShopGunsSpecial	4	64	307.910
PawnShopKnives	4	20	92.410
PawnShopTools	4	30	111.960
PetShopShelf	4	20	274.000
PharmacyCosmetics	4	19	126.000
PharmacyGlasses	6	9	230.000
Photographer	4	12	176.100
PizzaKitchenBaking	4	17	145.000
PizzaKitchenButcher	4	17	110.000
PizzaKitchenCheese	4	6	62.000
PizzaKitchenFreezer	4	6	26.000
PizzaKitchenFridge	4	15	82.000
PizzaKitchenSauce	4	11	88.000
PlankStashGold	4	5	110.000
PlankStashGun	4	24	116.101
PlankStashMagazine	4	18	131.101
PlankStashMisc	4	41	310.201
PlankStashMoney	4	21	321.001
PlumbingSupplies	4	15	176.000
PoliceCaptainCabinet	4	11	64.000
PoliceCaptainDesk	2	36	139.811
PoliceDesk	2	50	167.812
PoliceEvidence	1	119	1508.770
PoliceFileBox	4	14	738.101
PoliceFilingCabinet	4	18	526.410
PoliceLaundry	4	6	38.000
PoliceLibraryLegal	4	6	130.000
PoliceLockers	4	82	177.811
PoliceOutfit	3	26	161.000
PoliceStateOutfit	3	28	167.000
PoliceStateTools	3	18	122.000
PoliceStorageAmmunition	4	16	212.000
PoliceStorageArmor	4	7	152.000
PoliceStorageGuns	4	17	150.000
PoliceStorageMechanics	4	42	210.600
PoliceStorageOutfit	4	10	58.100
PoliceTools	3	14	130.000
PoolLockers	4	25	170.700
PostOfficeBooks	4	199	526.400
PostOfficeBoxes	4	11	139.000
PostOfficeMagazines	4	94	335.706
PostOfficeNewspapers	4	11	139.000
PostOfficeParcels	2	7	72.000
PostOfficeSupplies	4	24	159.600
PotteryBooks	8	5	30.000
PotteryStudioTools	8	4	140.000
PrisonArmoryShotguns	4	0	0.000
PrisonCellRandom	4	53	114.646
PrisonCellRandomClassy	4	56	166.732
PrisonGuardLockers	4	49	193.910
PrisonIntakeLockers	8	57	104.250
PrisonIntakePersonalObjects	8	2	70.000
PrisonLaundry	4	7	100.030
PrisonRiotStorage	4	19	346.500
PrisonStorageArmor	6	7	170.000
PrisonStorageGuns	4	9	130.000
ProduceStorageApples	4	4	60.000
ProduceStorageBellPeppers	4	4	60.000
ProduceStorageBroccoli	4	4	60.000
ProduceStorageCabbages	4	4	60.000
ProduceStorageCarrots	4	4	60.000
ProduceStorageCauliflower	4	4	60.000
ProduceStorageCherry	4	4	60.000
ProduceStorageCorn	4	4	60.000
ProduceStorageEggplant	4	4	60.000
ProduceStorageEmptyBoxes	8	4	130.000
ProduceStorageEquipment	8	8	80.000
ProduceStorageGrapes	4	4	60.000
ProduceStorageGreenpeas	4	4	60.000
ProduceStorageKale	4	4	60.000
ProduceStorageLeeks	4	4	60.000
ProduceStorageLettuce	4	4	60.000
ProduceStorageLooseFruit	4	9	230.000
ProduceStorageLooseVeg	4	15	120.000
ProduceStorageOnions	4	4	60.000
ProduceStoragePeaches	4	4	60.000
ProduceStoragePears	4	4	60.000
ProduceStoragePotatoes	4	4	60.000
ProduceStorageRadishes	4	4	60.000
ProduceStorageRottenFruit	4	9	230.000
ProduceStorageRottenVeg	4	15	120.000
ProduceStorageStrawberries	4	4	60.000
ProduceStorageSweetPotatoes	4	4	60.000
ProduceStorageTomatoes	4	4	60.000
ProduceStorageWatermelons	4	4	60.000
RadioFactoryComponents	4	11	150.000
RailYardSpikes	6	5	110.000
RailYardTools	4	46	147.700
RandomFiller	4	57	249.910
RangerBooks	4	19	190.000
RangerDesk	2	43	147.010
RangerLockers	4	78	164.710
RangerMagazines	6	7	140.000
RangerOutfit	3	24	150.010
RangerStorageGuns	4	11	278.000
RangerStorageTraps	4	13	320.000
RangerTools	3	29	149.500
RecRoomShelf	2	166	296.116
RestaurantKitchenFreezer	4	36	55.500
RestaurantKitchenFridge	4	104	187.100
RestaurantMenus	4	26	165.100
SWATStorageAmmunition	4	19	283.000
SWATStorageArmor	4	10	244.000
SWATStorageGuns	4	17	162.000
SafehouseArmor	2	86	286.070
SafehouseArmor_Late	3	161	503.051
SafehouseArmor_Mid	2	124	403.570
SafehouseBin	4	36	237.000
SafehouseBin_Late	4	67	512.000
SafehouseBin_Mid	4	54	427.000
SafehouseBookShelf	4	238	618.510
SafehouseBooze	4	32	363.000
SafehouseDryer	4	7	120.000
SafehouseFireplace	4	132	540.810
SafehouseFireplace_Late	4	137	559.810
SafehouseFood	4	115	438.500
SafehouseFood_Late	4	93	369.600
SafehouseFood_Mid	4	83	251.100
SafehouseFreezer	4	26	219.000
SafehouseFreezer_Late	4	31	167.000
SafehouseFreezer_Mid	4	19	71.000
SafehouseFridge	4	87	278.610
SafehouseFridge_Late	4	59	184.500
SafehouseFridge_Mid	4	68	107.910
SafehouseLighting	4	23	241.100
SafehouseLighting_Late	4	25	210.110
SafehouseMedical	4	42	669.000
SafehouseMedical_Late	4	71	481.300
SafehouseMedical_Mid	4	52	481.100
SafehouseStove	4	14	40.600
SafehouseStove_Late	4	18	118.000
SafehouseStove_Mid	4	8	27.000
SafehouseTraps	4	28	302.000
SafehouseWasher	4	7	120.000
SalonCounter	4	16	312.000
SalonMagazines	6	5	120.000
SalonShelfHaircare	4	8	240.000
SalonShelfTowels	4	5	110.000
SchoolGymSportsGear	4	25	139.000
SchoolLab	4	37	241.200
SchoolLockers	2	84	217.736
SchoolLockersBad	2	90	196.431
ScienceMisc	4	60	391.110
SeafoodKitchenButcher	4	21	116.200
SeafoodKitchenFreezer	4	7	76.000
SeafoodKitchenFridge	4	8	50.000
SeafoodKitchenSauce	4	9	55.000
SeasonalWorkerLockers	4	106	147.151
SecurityDesk	2	49	166.711
SecurityLockers	4	38	160.310
SecurityStorage	4	13	165.000
ServingTrayBiscuits	4	4	60.000
ServingTrayBurgers	4	4	60.000
ServingTrayBurritos	4	4	60.000
ServingTrayChicken	4	4	60.000
ServingTrayChickenFried	4	4	60.000
ServingTrayChickenNuggets	4	4	60.000
ServingTrayChickenWings	4	4	60.000
ServingTrayCornbread	4	4	60.000
ServingTrayFish	4	4	60.000
ServingTrayFishFingers	4	4	60.000
ServingTrayFishFried	4	4	60.000
ServingTrayFries	4	4	60.000
ServingTrayGravy	4	4	60.000
ServingTrayHam	4	4	60.000
ServingTrayHotdogs	4	4	60.000
ServingTrayLobster	4	4	60.000
ServingTrayMaki	4	4	80.000
ServingTrayMeatDumplings	4	4	60.000
ServingTrayMeatSteamBuns	4	4	60.000
ServingTrayMussels	4	4	60.000
ServingTrayNoodleSoup	4	4	60.000
ServingTrayOmelettes	4	4	60.000
ServingTrayOnigiri	4	4	60.000
ServingTrayOnionRings	4	4	60.000
ServingTrayOysters	4	4	60.000
ServingTrayOystersFried	4	4	60.000
ServingTrayPancakes	4	4	60.000
ServingTrayPerogies	4	4	60.000
ServingTrayPie	4	6	60.000
ServingTrayPizza	4	5	60.100
ServingTrayPorkChops	4	4	60.000
ServingTrayPotatoPancakes	4	4	60.000
ServingTrayRefriedBeans	4	4	60.000
ServingTraySalmon	4	4	60.000
ServingTraySausage	4	4	60.000
ServingTrayScrambledEggs	4	4	60.000
ServingTrayShrimp	4	4	60.000
ServingTrayShrimpDumplings	4	4	60.000
ServingTrayShrimpFried	4	4	60.000
ServingTraySpringRolls	4	4	60.000
ServingTraySteak	4	4	60.000
ServingTraySushiEgg	4	4	60.000
ServingTraySushiFish	4	4	60.000
ServingTrayTaco	4	4	60.000
ServingTrayTatoDots	4	4	60.000
ServingTrayTofuFried	4	4	60.000
ServingTrayWaffles	4	4	60.000
SewingStoreFabric	4	8	120.000
SewingStoreTools	4	19	278.000
ShelfGeneric	2	162	202.615
SmokingRoomCigars	4	5	92.000
SmokingRoomPipes	4	5	52.000
SpaCabinet	4	9	210.000
SpaCounter	4	17	228.000
SpiffosDesk	4	15	98.100
SpiffosDiningCounter	4	12	180.000
SpiffosKitchenBags	4	12	192.000
SpiffosKitchenBaking	4	10	102.000
SpiffosKitchenButcher	4	15	97.100
SpiffosKitchenCups	4	15	272.000
SpiffosKitchenFreezer	4	5	64.000
SpiffosKitchenFridge	4	7	66.000
SpiffosKitchenSauce	4	11	65.000
SpiffosKitchenSpecial	2	23	230.001
SpiffosKitchenTrays	4	10	162.000
SportStorageBalls	4	10	150.000
SportStorageBats	4	8	120.000
SportStorageHelmets	4	8	110.000
SportStoragePaddles	4	6	90.000
SportStorageRacquets	4	6	90.000
SportStorageSticks	4	5	70.000
SportStorageWeights	4	6	90.000
SportStoreAccessories	4	21	230.000
SportStoreBadminton	4	10	154.000
SportStoreBaseball	4	17	202.000
SportStoreBoxing	4	18	295.000
SportStoreFootball	4	10	154.000
SportStoreGolf	4	19	286.000
SportStoreIceHockey	4	15	126.000
SportStorePadding	4	12	74.000
SportStoreSneakers	4	6	60.000
SportStoreTennis	4	10	154.000
StoreCounterBags	4	6	90.000
StoreCounterBagsFancy	4	5	110.000
StoreCounterBagsPaper	4	5	110.000
StoreCounterCleaning	4	11	39.100
StoreCounterStrawsNapkins	4	8	120.000
StoreCounterTobacco	4	20	186.600
StoreDisplayWatches	4	12	87.000
StoreKitchenBags	4	8	160.000
StoreKitchenBaking	4	19	152.001
StoreKitchenButcher	4	34	115.200
StoreKitchenCafe	4	20	354.001
StoreKitchenCleaning	4	8	41.000
StoreKitchenCups	4	12	260.000
StoreKitchenCutlery	4	12	218.100
StoreKitchenDishes	4	8	160.000
StoreKitchenGlasses	4	10	178.000
StoreKitchenPotatoes	4	9	132.000
StoreKitchenPots	4	11	102.000
StoreKitchenSauce	4	25	74.100
StoreKitchenTrays	4	8	160.000
StoreShelfBBQ	4	19	105.000
StoreShelfBeer	1	0	0.000
StoreShelfCombo	3	51	176.050
StoreShelfDrinks	4	13	182.000
StoreShelfElectronics	4	21	184.000
StoreShelfMechanics	4	40	144.450
StoreShelfMedical	4	6	90.000
StoreShelfSnacks	4	43	106.500
StoreShelfSpices	4	16	138.000
StoreShelfWhiskey	1	0	0.000
StoreShelfWine	1	0	0.000
StoveClassy	3	12	16.100
StoveGeneric	2	10	7.600
StoveRedneck	1	7	3.750
StoveSpiffos	3	4	60.000
StripClubClothingRack	4	28	132.000
StripClubCosmetic	4	12	410.000
StripClubDressers	4	89	642.251
StudioPropShelf	8	6	170.000
SurvivalGear	4	181	465.836
SushiKitchenBaking	4	15	153.100
SushiKitchenButcher	4	17	96.200
SushiKitchenCutlery	4	11	146.000
SushiKitchenFreezer	4	6	90.000
SushiKitchenFridge	4	21	188.000
SushiKitchenSauce	4	10	104.000
TailoringLiterature	4	17	126.000
TailoringTools	4	13	290.000
TestingLab	4	29	212.200
TheatreDrinks	4	12	257.000
TheatreKitchenFreezer	4	8	92.000
TheatreLiterature	4	5	110.000
TheatrePopcorn	4	5	110.000
TheatreSnacks	4	21	158.000
TobaccoStoreAccessories	4	7	178.000
TobaccoStoreChew	4	4	100.000
TobaccoStoreCigarettes	4	5	108.000
TobaccoStoreCigarillos	4	4	130.000
TobaccoStoreCigars	4	4	100.000
TobaccoStorePipes	4	6	130.000
ToolCabinetFarming	4	58	284.210
ToolCabinetMechanics	4	42	246.600
ToolFactoryBarStock	4	5	110.000
ToolFactoryHandles	4	7	100.000
ToolFactoryIngots	4	5	110.000
ToolFactorySawBlades	4	6	90.000
ToolFactoryTools	4	45	252.100
ToolStoreAccessories	4	17	143.000
ToolStoreBooks	4	63	255.000
ToolStoreCarpentry	4	35	204.575
ToolStoreFarming	4	83	326.010
ToolStoreFootwear	4	8	110.000
ToolStoreHandles	6	10	230.000
ToolStoreKeymaking	4	14	172.000
ToolStoreMetalwork	4	42	272.000
ToolStoreMisc	4	40	295.300
ToolStoreOutfit	4	15	96.000
ToolStorePaint	4	25	288.000
ToolStoreTools	4	57	258.805
Trapper	4	98	444.800
UniversityDesk_Anthropology	4	27	224.600
UniversityDesk_Art	4	20	282.000
UniversityDesk_Business	4	22	418.000
UniversityDesk_Cinema	4	20	439.000
UniversityDesk_Computer	4	13	266.000
UniversityDesk_Electrical	4	0	0.000
UniversityDesk_Engineering	4	0	0.000
UniversityDesk_English	4	0	0.000
UniversityDesk_Fashion	4	0	0.000
UniversityDesk_Glassmaking	4	0	0.000
UniversityDesk_History	4	0	0.000
UniversityDesk_Legal	4	0	0.000
UniversityDesk_Math	4	0	0.000
UniversityDesk_Medical	4	0	0.000
UniversityDesk_Medieval	4	0	0.000
UniversityDesk_Music	4	0	0.000
UniversityDesk_Nature	4	0	0.000
UniversityDesk_Occult	4	15	258.000
UniversityDesk_Philosophy	4	0	0.000
UniversityDesk_Pioneer	4	0	0.000
UniversityDesk_Politics	4	0	0.000
UniversityDesk_Religion	4	0	0.000
UniversityDesk_Science	4	0	0.000
UniversityDesk_Therapy	4	17	226.200
UniversityFilingCabinet_Art	4	13	226.000
UniversityFilingCabinet_Business	4	0	0.000
UniversityFilingCabinet_Cinema	4	0	0.000
UniversityFilingCabinet_Computer	4	0	0.000
UniversityFilingCabinet_Engineering	4	0	0.000
UniversityFilingCabinet_English	4	0	0.000
UniversityFilingCabinet_Fashion	4	0	0.000
UniversityFilingCabinet_Glassmaking	4	0	0.000
UniversityFilingCabinet_History	4	0	0.000
UniversityFilingCabinet_Legal	4	0	0.000
UniversityFilingCabinet_Math	4	0	0.000
UniversityFilingCabinet_Medical	4	0	0.000
UniversityFilingCabinet_Medieval	4	0	0.000
UniversityFilingCabinet_Music	4	0	0.000
UniversityFilingCabinet_Nature	4	0	0.000
UniversityFilingCabinet_Occult	4	13	94.000
UniversityFilingCabinet_Philosophy	4	0	0.000
UniversityFilingCabinet_Politics	4	0	0.000
UniversityFilingCabinet_Religion	4	0	0.000
UniversityFilingCabinet_Science	4	0	0.000
UniversityFilingCabinet_Therapy	4	5	150.000
UniversityFridge	4	23	88.200
UniversityLibraryArt	4	7	74.000
UniversityLibraryBiography	4	5	110.000
UniversityLibraryBooks	4	60	280.000
UniversityLibraryBusiness	4	5	110.000
UniversityLibraryCinema	4	5	110.000
UniversityLibraryComputer	4	5	110.000
UniversityLibraryGeneralReference	4	5	110.000
UniversityLibraryHistory	4	5	110.000
UniversityLibraryLegal	4	5	110.000
UniversityLibraryMagazines	4	57	55.020
UniversityLibraryMedical	4	7	74.000
UniversityLibraryMilitaryHistory	4	10	74.000
UniversityLibraryMusic	4	5	110.000
UniversityLibraryPhilosophy	4	5	110.000
UniversityLibraryPolitics	4	5	110.000
UniversityLibraryScience	4	5	110.000
UniversityLibrarySports	4	5	110.000
UniversitySideTable	4	201	184.240
UniversityStorageAnthropology	4	44	172.000
UniversityStorageScience	4	61	333.610
UniversityWardrobe	4	193	120.399
VacationStuff	4	53	513.500
WaitingRoomDesk	4	37	177.400
WallDecor	4	20	80.000
WardrobeChild	4	196	272.342
WardrobeClassy	4	210	275.667
WardrobeGeneric	4	217	145.110
WardrobeManClassy	1	0	0.000
WardrobeRedneck	4	220	168.042
WardrobeWoman	1	0	0.000
WardrobeWomanClassy	1	0	0.000
WeddingStoreDresses	4	11	98.000
WeddingStoreSuits	4	5	60.000
WeldingWorkshopFuel	4	6	90.000
WeldingWorkshopMetal	4	11	136.000
WeldingWorkshopTools	4	47	232.300
WesternKitchenBaking	4	18	132.000
WesternKitchenButcher	4	25	133.200
WesternKitchenFreezer	4	7	138.000
WesternKitchenFridge	4	14	166.000
WesternKitchenSauce	4	20	137.000
WhiskeyBottlingEmpty	4	5	110.000
WhiskeyBottlingFull	4	5	110.000
WildWestBarCounter	4	9	51.000
WildWestBarShelf	4	13	192.000
WildWestBarberCounter	4	12	62.100
WildWestBarberShelves	4	8	88.000
WildWestBedroom	4	15	72.100
WildWestBlacksmith	4	24	99.000
WildWestClothing	4	9	30.000
WildWestGeneralStore	4	14	86.000
WildWestKitchen	4	12	53.000
WildWestLivingRoom	4	17	39.200
WildWestShelves	4	13	51.000
WildWestSheriffDesk	4	9	260.000
WildWestSheriffLocker	4	7	190.000
WildWestSouveniers	4	9	150.000
WildWestWoodStove	4	4	11.000
WireFactoryBarbed	4	4	60.000
WireFactoryBasic	4	4	60.000
WireFactoryElectric	4	5	110.000
WireFactoryTools	4	40	286.100
WoodcraftDudeCounter	4	27	162.700
ZippeeClothing	4	13	114.001
